enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
29,0,0,1.14.15.4,-1,/,-1
31,0,0,1.14.15.4,-1,/,-1
36,0,0,1.14.15.4,-1,/,-1
93,0,0,1.14.14.-,-1,,-1
97,0,0,1.14.15.4,1,1.-.-.-,-1
122,0,0,1.14.15.4,-1,,-1
204,0,0,1.14.14.126,-1,,-1
216,0,0,1.14.14.91,-1,,-1
231,0,0,1.14.15.4,-1,/,-1
251,0,0,1.14.15.4,-1,,-1
321,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.82,-1
401,0,0,,-1,,-1
408,0,0,1.14.15.4,-1,,-1
437,0,0,1.14.15.4,1,1.-.-.-,-1
477,0,0,1.14.15.4,-1,/,-1
547,0,0,1.14.15.4,-1,,-1
552,0,0,1.14.15.4; 1.14.15.5,-1,,-1
586,0,0,1.14.13.-,-1,,-1
601,0,0,1.14.15.4,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
721,0,0,1.14.15.4; 1.14.15.5,0,4.2.1.92,-1
724,0,0,1.14.14.139,-1,,-1
745,0,0,1.14.15.4,2,1.14.14.24,-1
762,0,0,1.14.15.4,2,1.14.14.45,-1
838,0,0,1.14.14.1; 1.6.2.4,-1,,-1
841,0,1,1.14.15.4,0,,-1
842,0,1,1.14.15.4,0,,-1
843,0,1,1.14.15.4,0,,-1
854,0,1,1.14.15.4,0,,-1
870,0,1,1.14.15.4; 1.14.15.5,0,,-1
871,0,1,1.14.15.4,0,,-1
903,0,0,1.14.15.4,2,1.14.14.32,-1
941,0,0,1.14.15.4,-1,,-1
960,0,0,1.14.15.4,2,1.14.19.76,-1
961,0,0,,-1,,-1
1039,0,0,1.14.15.4,2,1.14.14.36,-1
1174,0,0,1.14.15.4,2,1.14.14.154,-1
1197,0,0,1.14.15.4,-1,,-1
1300,0,0,1.14.15.4; 1.14.15.5,3,1.14.15.-,-1
1355,0,0,1.14.15.4,2,1.14.19.n5,-1
1364,0,0,1.14.14.51,-1,,-1
1386,0,0,1.14.15.4,-1,,-1
1403,0,0,1.14.15.4,-1,,-1
1415,0,0,1.14.15.4,-1,/,-1
1433,0,0,1.14.15.4; 1.14.15.5,-1,,-1
46,6,0,1.14.14.48,-1,,-1
221,6,0,,-1,,-1
405,6,0,1.14.14.48,2,1.14.19.80,-1
458,6,0,1.14.14.154,-1,,-1
674,6,0,1.14.14.48,2,1.14.19.41,-1
678,6,0,/,-1,,-1
751,6,0,1.14.14.165,-1,,-1
